id,wisata,review
1,pantai_melawai,tempat yang enak buat bersantai sambil menikmati sunset banyak pengamen juga yg bikin live music kuliner pun variatif dari snack sampai makanan berat kopi dan aneka minuman
1,pantai_melawai,satu tempat favorit untuk santai dan menikmati pemandangan pantai terutama disore hari lihat sunset sambil makan atau minum lesehan
1,pantai_melawai,pantai sepanjang hampir satu kilo yang berawal dari titik pangkalan tni al balikpapan dan berakhir di ujungnya masjid pelabuhan al muna bibir pantai terbatasi tembok batu yang bisa dijadikan tempat duduk
1,pantai_melawai,salah satu destinasi wisata di kota balikpapan banyak kuliner di malam hari dengan berbagai menu makanan minuman
1,pantai_melawai,harganya ndak ada yg murah sepatu merek flipower badminton ndak ada sepatu harga kisaran minimal rbuan dibawah itu ndak ada
1,pantai_melawai,tempat ini cukup ramai terutama di sore hari karena jika anda beruntung maka bisa menikmati sunset terdapat banyak penjual makanan dan minuman di sekitarnya
1,pantai_melawai,tempat ternyaman favorit sejak kecil selalu bersih walau kadang ada sampah berhamburan tp bntr aja kok suka kesini kalo pagi sih
1,pantai_melawai,makanannya rekomende bangatpengen menikmati suasana sorenya semoga bisa datang lagi k sini
1,pantai_melawai,view bagus apalgi sore hari banyak jajanan berjejer kapal nyaman
1,pantai_melawai,saat matahari telah pergi justru langit memberi hadiah indah warna jingganya
1,pantai_melawai,spot dan lokasi yg pas utk liat sunset disini masuk gratis kalau jalan kaki berbayar parkir masuk utk kendaraan ada masjid dan ada warung makanan sepanjang pantai cocoj untuk nongki sambil liat pemandangan pantai dan sunset sampai malam harga makanan dan minuman cukup terjangkau
1,pantai_melawai,pantai yang cocok untuk duduk duduk santai menikmati kopi di sore hari
1,pantai_melawai,lumayan cukup nyaman juga tempat nyabanyak yang berjualan makanan jadi bisa makan sambil menikmati pemandangan laut bagus banget
1,pantai_melawai,suasana pantai hidangan laut kehangatan kebersamaan tumpah ruah disini
1,pantai_melawai,waktu kesini pagi beli sarapan sambil liat laut tapi momen itu gk mengenakan karna ada orang yg kurang mondar mandir bau sekali padahal kita lagi makan dan dia pipis di pinggir situ apa coba langsung kita bungkus makanan kita kabur dr situ eneg banget sumpah
1,pantai_melawai,pusat kuliner umkm makanan lumayan enak harga ramah kantong
1,pantai_melawai,pertama kali kesini pantainya sepijalan masuknya masih bebatuanada spot camping bisa disewa jg kalau mau menginap
1,pantai_melawai,menikmati kuliner yang ada sambil menikmati hembusan angin laut tapi di sayangkan ada saja orang orang yang memperkerjakan anak dibawah umur untuk jualan jajanan dengan patokan harga yang lumayan mahal
1,pantai_melawai,nyaman buat sunsettan dan buat nyantai ngobrol ngobrol tapi sayang sampahnya banyak bgt harusnya masyarakat lebih sadar untuk ga buang sampah ke laut
1,pantai_melawai,bagusnya datang sore biar bisa lihat sunset ini aku mesan trakulu bakar harganya k tapi rasa ikannya hambar untung sambalnya nolong lain kali mau mesan ayam bakar saja btw ada pengemis ada juga orang ngamen dan orang jualan lewat lewat
1,pantai_melawai,semalam ksini pas ujan untung ad yg terpal makanannya enak ko porsinya lumayan gede ad jus juga jagung bakar yg diserut buka smpe mlm enak buat nongki klo ga ujan
1,pantai_melawai,rame makanan nya masih terjangkau lumayan enak juga
1,pantai_melawai,lokasinya sekitar menit dari bandara pantainya bisa dinikmati dari pinggir jalan saya ke sana pagi hari jadi air sedang pasang tapi setidaknya masih bisa
1,pantai_melawai,pantai nya bagus kalo buat nongkrong mungkin enaknya sore ya karena lampu dan suasana nya juga mendukung kalo untuk berenang bisa juga untuk anak kecil yang mau berenang harus dijaga ketat oleh orang tua ya karena disini ombaknya sedikit kencang dikarenakan dekat dengan pelabuhan
1,pantai_melawai,pantai terbaik utk menukmati sunset di balikpapanhanya menit dr pusat kota dan menit dr kantor walikotaada mesjid yg bersih banyak makanan kaki lima dan mainan anak serta parkir luas
1,pantai_melawai,mau jajan tipis tipis sambil lihat sunset sore di temani deburan ombak yang syahdu di sini tempatnya harga relatif terjangkau pilihan menu variatif akses parkir luas bisa ajak rombongan sekomplek
